sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
MAIN,2022-02-07,2022-02-24,-13,ML Probability-Weighted,-0.0023454023270639,-0.005754649484861263,-0.01360308082274242,0.0030033803,2,medium_risk,0.6507924766840256
MAIN,2022-02-08,2022-02-24,-12,ML Probability-Weighted,0.010133893791387,0.004372152603385748,-0.0035562182693604782,0.0039026595,2,medium_risk,0.7514454351692524
MAIN,2022-02-09,2022-02-24,-11,ML Probability-Weighted,0.0135041889066269,0.018027377737763972,0.0,0.0033476618,2,medium_risk,0.688586247860726
MAIN,2022-02-10,2022-02-24,-10,ML Probability-Weighted,0.0028501987260335,0.02093309704450963,0.0,0.0031844554,2,medium_risk,0.634944707997314
MAIN,2022-02-11,2022-02-24,-9,ML Probability-Weighted,-0.0069814002884036,0.013830376741975847,-0.006957086926749012,0.003364492,2,medium_risk,0.7006772602447834
MAIN,2022-02-14,2022-02-24,-8,ML Probability-Weighted,-0.0170897739042784,-0.003348545123707747,-0.02378377411655097,0.0048625814,2,medium_risk,0.6617601276399128
MAIN,2022-02-15,2022-02-24,-7,ML Probability-Weighted,0.0099780361949419,0.006645858506270308,-0.013994294611076152,0.0057739923,2,medium_risk,0.5982453917285431
MAIN,2022-02-16,2022-02-24,-6,ML Probability-Weighted,0.0013369422672879,0.007992585950522324,-0.012675180314409173,0.004715731,2,medium_risk,0.6077173990511464
MAIN,2022-02-17,2022-02-24,-5,ML Probability-Weighted,-0.0047706248681119,0.003195283616446609,-0.01737411930263799,0.004972965,2,medium_risk,0.6281946495329589
MAIN,2022-02-18,2022-02-24,-4,ML Probability-Weighted,-0.0058095348091191,-0.0026159177713634962,-0.023066168472787307,0.004821828,2,medium_risk,0.6182410859125436
MAIN,2022-02-21,2022-02-24,-3,ML Probability-Weighted,-0.0073114809318398,-0.009881678367696711,-0.03018295273354521,0.002544035,2,medium_risk,0.6175622079305855
MAIN,2022-02-22,2022-02-24,-2,ML Probability-Weighted,0.0003112601979594,-0.009573445975152972,-0.02988104030320471,0.0014067031,2,medium_risk,0.6146618580790724
MAIN,2022-02-23,2022-02-24,-1,ML Probability-Weighted,-0.0039198976175512,-0.013448217349581348,-0.03367636380250694,0.0020985184,2,medium_risk,0.6250080183999913
MAIN,2022-02-24,2022-02-24,0,ML Probability-Weighted,-0.0179409650516994,-0.030990078915076102,-0.05085854901746034,0.006898653,2,medium_risk,0.6177401402826844
MAIN,2022-02-25,2022-02-24,1,ML Probability-Weighted,0.0204103031734297,-0.011009077132074552,-0.03128723544084655,0.014804409,2,medium_risk,0.5909659081385767
MAIN,2022-02-28,2022-02-24,2,ML Probability-Weighted,-0.0005132441281111,-0.01151654067850938,-0.031784294011975134,0.0063728234,2,medium_risk,0.5883977097922067
MAIN,2022-03-01,2022-02-24,3,ML Probability-Weighted,-0.020684163384364,-0.03175249074035058,-0.05160532843668142,0.3073578,2,medium_risk,0.592295877068284
MAIN,2022-03-02,2022-02-24,4,ML Probability-Weighted,0.0083455637190064,-0.023638106998899455,-0.043657321104034974,0.05812707,2,medium_risk,0.5187342359591512
MAIN,2022-03-03,2022-02-24,5,ML Probability-Weighted,-0.021907287425225,-0.04479495688173707,-0.06438037332369995,0.8236047,1,high_risk,0.5777706803494681
MAIN,2022-03-04,2022-02-24,6,ML Probability-Weighted,-0.0146681752364549,-0.0587038136869269,-0.07800404449809373,0.91796684,1,high_risk,0.3971392437923345
MAIN,2022-03-07,2022-02-24,7,ML Probability-Weighted,-0.0037231473687117,-0.06220188215317335,-0.08143038896314525,0.81921166,1,high_risk,0.3748866128695406
MAIN,2022-03-08,2022-02-24,8,ML Probability-Weighted,0.0071648738001688,-0.055458548268255914,-0.07482531963545025,0.78906196,1,high_risk,0.3981874860910044
MAIN,2022-03-09,2022-02-24,9,ML Probability-Weighted,0.0193100532188398,-0.037042164141174894,-0.05678654297085339,0.9923982,1,high_risk,0.405411380633806
MAIN,2022-03-10,2022-02-24,10,ML Probability-Weighted,-0.0041310821412741,-0.04101201652081965,-0.06067499794516762,0.96085906,1,high_risk,0.3574436114401484
MAIN,2022-03-11,2022-02-24,11,ML Probability-Weighted,0.003279144629808,-0.037862194686514195,-0.05758975970240343,0.91695404,1,high_risk,0.3651027037042666
MAIN,2022-03-14,2022-02-24,12,ML Probability-Weighted,0.0042358957214831,-0.033778035343740354,-0.053589341502036536,0.7617327,1,high_risk,0.3757756968292958
MAIN,2022-03-15,2022-02-24,13,ML Probability-Weighted,8.520365873696944e-05,-0.03369570618987683,-0.05350870041585576,0.8091957,1,high_risk,0.4129388450568882
MAIN,2022-03-16,2022-02-24,14,ML Probability-Weighted,0.0069691847215832,-0.02693783198443578,-0.04688938890072869,0.7097796,1,high_risk,0.4012471233872549
MAIN,2022-03-17,2022-02-24,15,ML Probability-Weighted,0.0015978565274335,-0.025381775401159157,-0.04536523752608801,0.51976645,1,high_risk,0.4245592815024167
MAIN,2022-03-18,2022-02-24,16,ML Probability-Weighted,0.0003130777288529,-0.025076596371017,-0.04506631585235088,0.33811617,2,medium_risk,0.4704768025692336
MAIN,2022-03-21,2022-02-24,17,ML Probability-Weighted,-0.001736522961712,-0.026768104151215555,-0.04672314114785281,0.24668308,2,medium_risk,0.5138374674209126
MAIN,2022-03-22,2022-02-24,18,ML Probability-Weighted,0.0062203570387408,-0.02069538662281334,-0.04077493793455511,0.11359877,2,medium_risk,0.5355921223992675
MAIN,2022-03-23,2022-02-24,19,ML Probability-Weighted,-0.0107053440955132,-0.031123262891672887,-0.05098900220482616,0.2120546,2,medium_risk,0.5667873435934716
MAIN,2022-03-24,2022-02-24,20,ML Probability-Weighted,-0.0015195142686839,-0.03259436695344309,-0.05242994291487746,0.05875148,2,medium_risk,0.5423600132625773
